#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
arles_region_tradezone_d_holland;Potential Holland Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_utrecht;Potential Sticht Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_gelre;Potential Gelre Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_frisia;Potential Friesland Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_trier;Potential Trier Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_luxembourg;Potential Luxembourg Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_pfalz;Potential Pfalz Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_upper_lorraine;Potential Blâmont Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_barleduc;Potential Pont-á-Mousson Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_brabant;Potential Brussel Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_liege;Potential Liege Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_hainaut;Potential Mons Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_limburg;Potential Limburg Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_koln;Potential Köln Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_berg;Potential Berg Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_angria;Potential Lippe Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_oldenburg;Potential Tecklenburg Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_osnabruck;Potential Osnabrück Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_bishopmunster;Potential Münster Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_bremen;Potential Bremen Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_holstein;Potential Eselsfleth Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_magdeburg;Potential Magdeburg Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_saxewittenberg;Potential Anhalt Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_meissen;Potential Meissen Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_altmark;Potential Altmark Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_brunswick;Potential Lüneburg Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_rheinfranken;Potential Wertheim Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_wurzburg;Potential Würzburg Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_mainz;Potential Mainz Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_thuringia;Potential Thüringen Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_hessen;Potential Hessen Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_niederbayern;Potential Niederbayern Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_tyrol;Potential Tirol Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_bamberg;Potential Bamberg Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_nuremberg;Potential Nürnberg Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_oberbayern;Potential Oberbayern Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_salzburg;Potential Salzburg Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_osterreich;Potential Österreich Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_styria;Potential Steiermark Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_carinthia;Potential Kärnten Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_istria;Potential Merania Trade Zone;;;;;;;;;;;;;x
arles_region_tradezone_d_aquileia;Potential Aquileia Trade Zone;;;;;;;;;;;;;x
